 County Code ,District Code,School Code,Local Educational Agency ,Charter Number," TK/K-3 ADA
Target, B-5/B-1 "," 4 - 6 ADA
Target, B-6/B-2 "," 7 - 8 ADA
Target, B-7/B-3 "," 9 - 12 ADA
Target, B-8/B-4 ","Unduplicated Pupil Percentage
Target, D-1"," Base Grant Funding
Target, C-5 "," Supplemental Grant Funding
Target, D-7 "," Concentration Grant Funding
Target, E-8 "," Necessary Small Schools Allowance
Target, F-1 "," Add-On (Based on 2012-13 Targeted Instructional Improvement Block Grant)
Target, F-2 "," Add-On (Based on 2012-13 Home-to-School Transportation)
Target, F-3 "," Add-On (Based on 2012-13 Small School District Bus Replacement Program)
Target, F-4 "," Total LCFF Target Entitlement
Target, G-1/F-1 "," Total LCFF Floor Entitlement
Transition, B-13 "," Current Year Gap Funding (100%)
Transition, C-3 "," Economic Recovery Target
Transition, D-1 "," Miscellaneous Adjustments
Transition, E-1 "," Total Local Revenue or In-Lieu of Property Taxes
Transition, F-2/F-7 "," Education Protection Account Entitlement
Transition, F-5/F-9 "," Net State Aid
Transition, F-6/F-10 "," Additional SA for MSA Guarantee
Transition, H-1/H-2 "
19,64378,0000000,Charter Oak Unified,N/A," 1,275.44 "," 1,025.70 ", 732.54 ," 1,595.86 ", 0.5838 ," 38,771,731 "," 4,526,988 "," 655,242 ", - ," 415,974 "," 191,867 ", - ," 44,561,802 "," 42,069,436 "," 2,492,366 ", - , - ," 11,008,912 "," 7,488,136 "," 26,064,754 ", - 
19,64394,0000000,Claremont Unified,N/A," 1,822.87 "," 1,528.99 "," 1,062.79 "," 2,413.95 ", 0.3800 ," 57,247,731 "," 4,350,828 ", - , - ," 240,624 "," 549,826 ", - ," 62,389,009 "," 58,559,802 "," 3,829,207 ", - , - ," 15,849,514 "," 11,132,169 "," 35,407,326 ", - 
19,64436,0000000,Covina-Valley Unified,N/A," 3,129.14 "," 2,375.71 "," 1,743.89 "," 4,210.11 ", 0.6990 ," 96,373,844 "," 13,473,064 "," 7,179,851 ", - ," 860,713 "," 933,272 ", - ," 118,820,744 "," 111,491,765 "," 7,328,979 ", - , - ," 25,828,380 "," 18,573,610 "," 74,418,754 ", - 
19,64444,0000000,Culver City Unified,N/A," 2,105.30 "," 1,515.33 "," 1,063.55 "," 2,189.79 ", 0.3693 ," 57,398,309 "," 4,239,439 ", - , - , - ," 126,531 ", - ," 61,764,279 "," 57,741,962 "," 4,022,317 ", - , - ," 24,082,294 "," 11,393,709 "," 26,288,276 ", - 
19,64451,0000000,Downey Unified,N/A," 5,654.85 "," 4,435.51 "," 3,405.07 "," 7,704.78 ", 0.7128 ," 178,110,468 "," 25,391,428 "," 14,498,191 ", - ," 1,122,930 "," 989,781 ", - ," 220,112,798 "," 204,820,939 "," 15,291,859 ", - , - ," 41,578,892 "," 34,342,946 "," 144,190,960 ", - 
19,64469,0000000,Duarte Unified,N/A," 1,036.59 ", 795.86 , 700.20 , 894.14 , 0.7325 ," 28,308,318 "," 4,147,168 "," 2,583,134 ", - ," 24,250 "," 346,662 ", - ," 35,409,532 "," 33,506,689 "," 1,902,843 ", - , - ," 7,332,542 "," 5,574,931 "," 22,502,059 ", - 
19,64469,0128736,Opportunities for Learning - Duarte,1599, 44.97 , 29.50 , 27.79 , 701.56 , 0.7278 ," 7,313,084 "," 1,064,493 "," 650,132 ", N/A , N/A , N/A , N/A ," 9,027,709 "," 8,364,792 "," 662,917 ", - , - ," 1,217,988 "," 160,764 "," 7,648,957 ", - 
19,64469,0134858,California School of the Arts - San Gabriel Valley,1838, -   , -   , -   , 700.66 , 0.2437 ," 6,494,418 "," 316,538 ", - , N/A , N/A , N/A , N/A ," 6,810,956 "," 6,712,470 ", - , - , - ," 1,061,675 "," 140,132 "," 5,609,149 ", - 
19,64477,0000000,Eastside Union Elementary,N/A," 1,431.07 "," 1,119.80 ", 671.27 , -   , 0.8920 ," 25,496,088 "," 4,548,502 "," 4,359,831 ", - ," 142,087 "," 583,247 ", - ," 35,129,755 "," 32,646,833 "," 2,482,922 ", - , - ," 3,457,688 "," 5,021,337 "," 26,650,730 ", - 
19,64485,0000000,East Whittier City Elementary,N/A," 3,594.09 "," 2,770.29 "," 2,015.21 ", -   , 0.5511 ," 66,281,774 "," 7,305,577 "," 36,456 ", - ," 550,096 "," 448,673 ", - ," 74,622,576 "," 70,618,601 "," 4,003,975 "," 3,518,013 ", - ," 14,172,782 "," 15,492,914 "," 48,474,893 ", - 
